,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Court station name: 
(Entry required.)",,,A. N. Other,,,,,,,,,,JUDICIARY,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,
,"
Today's date





",,,"
Case Number  and date of Registration)

",,,,,"
*Appeal cases only:                                                             Enter Court Station where case is coming from & its case number",,,,"
Specific Case Type
","
Name of Judge(s) or Judicial Officer



",,,,,,,"
Case coming for?

","
What was the outcome from Column 6?
","
 If outcome involved an adjournment, indicate reason:

","                                       Date of next activity:



",,,"
No. of plaintiffs/appellants




",,,"
No. of defendants/accused




",,,"
Do any of the parties have legal representation?




","
No. of witnesses testified in court today


",,"
Criminal cases only: 
Of the accused, how many were remanded in custody?
","
Other important details of the case",,
,Day,Month,Year,Code,No.,Day,Month,Year,Name of Court,Code,No.,Year,"
(Select)",Name of Judge 1 or Magistrate/DR or Kadhi,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,(Select option),(Select option),(Select option),Day,Month,Year,M,F,Org.,M,F,Org.,(Y/N),"P 
(Enter No.)","D
(Enter No.)",(Enter No.),(Free text),,
,3,Apr,2023,QRCR,E642,3,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Plea,Mention date set (in court),,12,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E1411,31,Oct,2022,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon XYZ,,,,,,,Hearing,Adjournment,Advocate not ready,24,Apr,2023,,,1,1,,,No,,1,0,,,
,3,Apr,2023,QRCR,E649,3,Apr,2023,,,,,"Possession of narcotic drugs and psychotropic substances (cannabis sativa, cocaine, heroin etc.)",Hon A N Other,,,,,,,Plea,Mention date set (in court),,12,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E638,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCRMISC,E109,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Certificate of urgency,Mention date set (in court),,12,Apr,2023,,,1,,2,,No,,,2,,,
,3,Apr,2023,QRCR,E637,3,Apr,2023,,,,,"Arson, setting fire to crops and offences allied to arson",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E639,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,0,,,
